technology,tech_push_sent_window,tech_push_phrase,tech_push_company,tech_push_input_id,demand_pull_sent_window,demand_pull_phrase,demand_pull_company,demand_pull_input_id
Hybrid vehicle electric car,"In parallel, we continue to cooperate closely with the long term partners as we expand this power management road map. During the first quarter, we received and shipped our first high-volume order based upon a specialty BCD platform optimized in cooperation with a lead power management company for differentiated electric car stacked battery management systems. For next generations, which may require even further battery stacking, we recently released a 200-volt power management SOI-based technology, further enabling this capability. This technology also provides superior performance over a wide range of analog and power applications, such as motor drivers, including home and industrial appliances and for electric vehicles. Technology has added benefit for the ultrafast drivers, enabling the high-efficiencies intrinsic to high-speed of gallium nitride switches as well as requirements for multiple channel, medical ultrasound application. The 200-volt SOI process is based on and compatible with TowerJazz's advanced 180-nanometer bulk BCD platform. Hence customers can reuse elements that they are familiar with, leading to faster time-to-market with high confidence of first-time success with the ability to extend their designs up to 200 volts.",TowerJazz's advanced 180-nanometer bulk BCD platform,Tower Semiconductor Ltd,201572,"Global demand for light vehicle engines continues to be robust, and the evolution of engine technology to more efficient designs is significantly increasing sealing and thermal content for both internal combustion engines and hybrid electric vehicles. Complexity in Chinese engine and transmission technology is also increasing, which is providing growth opportunities. And e-Propulsion demand is driving near-term battery cooling growth as well. Internal combustion engine and electric vehicles are presenting significant content-per-vehicle opportunity as the market shifts from engine oil cooling to battery cooling. And our reintroduction of Dana Victor Reinz brand to the North America aftermarket is also creating near-term growth opportunities. As we shared with you last quarter, we launched a new plant in China to address the fast-growing market adoption of hybrid and electric vehicles in that region. And globally, we are launching 90 new customer programs for all types of vehicles, a 30% increase over last year.",fast-growing market adoption of hybrid and electric vehicles in that region,Dana Inc,223725.0
Lane departure warning,"Roadway Sensor revenues were $6.1 million in the quarter compared to $5 million in the year-ago period, while Automotive Sensor revenues were $2.3 million in the current quarter compared to $1.9 million recorded in the year-ago period. Consulting revenues were $5.1 million, which is up from the $4.6 million recorded a year ago. The increase in Automotive Sensor revenue was a result of a 151% increase, or $454,000, in specific application engineering development generated from development work for Nissan in the passenger car market. Product sales of lane departure warning units in the heavy truck market decreased by $130,000 from the year-ago period, or to $1.3 million, and ended the year at $5.9 million, or an increase of 35.6%. Overall unit volumes increased in the fourth quarter by more than 10% compared to the prior year. However, the decline in revenues was mainly a result of OEM volume discounts to our largest customer and the transition to our next generation LDW unit. Total Automotive Sensor revenues were $8.7 million for the year compared to $7.1 million in the prior year, or an increase of 22%.",transition to our next generation LDW unit,Iteris Inc,17806,"So when we give the annual guidance for '17 and '18, those are net of those type of trends inside of any one of the products. So that's not -- that doesn't take away from that growth rate projection. And really, what's driving that is just the acceptance and the wider penetration of full Driver Assist systems in the vehicle space. So in other words, when there's already a camera on the car that's doing the lane departure warning or forward crash, obviously, they don't necessarily need to have a second camera to do lighting control. And so from an economic standpoint, the OEMs are looking for the cheapest way to accomplish that feature set, and often times, it's going to be more advantageous for them to add that type of content and software to an existing hardware module, and so that's what's causing most of the headwind. Now what we've been successful at over the last few years, and this has been the case for, really, the last 5, 6 years since Driver Assist has started to roll out in higher volumes. What we've always been able to do is find lower segments, like in other words, an A, B or C segment play or the lower term levels on an existing vehicle, in other words, the entry-level vehicle may have a lighting only and an upgrade to Driver Assist, higher trim levels and then the third area we've been able to find success is in emerging markets.",wider penetration of full Driver Assist systems,Gentex Corp,184603.0
Lithium battery,"We are now in 31 locations in North America; about 4 in Canada; 24, 25 in the U.S.; 1 in Mexico at a car assembly manufacturing plant. Our OEM partner or the world's largest company have access to all technology across the world, and we are humbled that they chose Electrovaya, and now rather rapidly, we are in these 31 locations. We must be providing exceptional technology in terms of cycle life, safety, energy, power and fast charging, otherwise they would not have chosen us. Before we came to this market, the general consensus was that lithium-ion could not deliver the needed 12 to 20x more work capability than the normal lithium-ion in, say, an electric car uses, plus there was worries always about the safety of such batteries. Hence, these major customers kept using 3 lead acid batteries per truck and swapping batteries every shift or use hydrogen fueled -- fuel cells. A normal lithium-ion battery in an electric car is guaranteed for, say, 150,000 kilometers over 5 to 8 years of operations. Our materials handling customers instead wants 2 million to 3 million kilometers of operation, a 12 to 20x more.","exceptional technology in terms of cycle life, safety, energy, power and fast charging",Electrovaya Inc,290474,"The second quarter small-sized battery revenue increased, mainly driven by strong sales of cylindrical batteries. In particular, high-power, high-end cylindrical batteries for power tools continued to remain strong, while non-IT small battery sales, such as for ESS, has also maintained a solid trend, supporting overall small business -- small battery sales. Even though polymer battery sales decreased temporarily in quarter 2, due to overall lower growth of the smartphone market and absence of new flagship models, we expect to record a revenue increase on a full year basis by increasing our revenue within our major customers. In the second half, small-sized batteries demand is expected to be driven by cylindrical batteries with increased lithium battery adoption by applications such as power tools, gardening tools, e-bikes and EV. Polymer demand is also expected to maintain an increasing trend with a bunch of new flagship handsets in the second half. We will strengthen our leadership in the cylindrical market with further increasing high-end product revenue and increase our share of the flagship handsets scheduled for launch in the second half by our major customers. Next is Electronic Materials division.","increased lithium battery adoption by applications such as power tools, gardening tools, e-bikes and EV",Samsung SDI Co Ltd,224669.0
Machine Learning AI,"With the anticipated increase in the adoption of advanced camera-based driver assistance systems, in-cabin monitoring, safety and convenience features and multiscreen digital cockpits for next-generation software-defined vehicles, there is a growing requirement for a more highly asymmetric raw data and video links and higher bandwidth with the ASA Motion Link open-standard supports. Also last month, we closed our acquisition of Neuronix AI Labs whose innovative software technology enhances AI-enabled intelligent edge solutions and increases neural networking capabilities. This technology expands our capabilities for power-efficient AI-enabled edge solutions deployed in FPGAs. Neuronix AI Labs provides neural network sparsity optimization technology that enables the reduction in power, size and calculation for tasks such as image classification, object detection and semantic segmentation while maintaining high accuracy. Finally, in July, we expect to announce our entry into the 64-bit embedded microprocessor market with a suite of products, development tools and other support requirements to address high-performance embedded processing applications including AI-enabled edge solutions. This will extend our strong 32-bit embedded microprocessor portfolio to higher performance and increased capabilities while preserving Microchip's historically strong ecosystem of leading development tools to make adoption easy for embedded system design engineers. Microchip is the only company to offer the widest embedded control and processing platform from 8-bit to 64-bit as well as FPGAs with a common development tool ecosystem that's empowering customers to innovate and reuse their work across a wide spectrum of markets and applications.",neural network sparsity optimization technology,Microchip Technology Inc,431627,"Overall, we are maintaining our expectation for ATS revenue growth in the mid-single digit percentage range in 2024. That's turning to our CCS segment. The demand backdrop for our CCS segment continues to be very strong. Investments from hyperscalers and data center infrastructure are fueling significant CapEx spending driven by growing demand for artificial intelligence and machine learning applications. In 2023, our portfolio with our hyperscalers saw revenue growth of 32% compared to 2022, recording nearly $2.9 billion in revenues. This accounted for 62% of our total CCS segment revenues in 2023, up from 51% the prior year. At our recent Virtual Investor Meeting in November, we delved further into this dynamic, which we believe is long term and structural in nature.",growing demand for artificial intelligence and machine learning applications,Celestica Inc,423973.0
Millimeter wave,"Over the next 3 years, this private network will allow research to test and develop new advanced manufacturing technologies that can leverage the high bandwidth, ultra-low latency capabilities of 5G millimeter wave networks. 5G millimeter wave networks will enable the industry to lower costs, improve efficiencies and increase worker safety by incorporating innovations in augmented reality, high-speed vision systems, massive industrial IoT deployments and autonomous vehicles. Although it was a bit later than we were hoping for, we also finally saw the announcement from Qualcomm on support for stand-alone millimeter wave chipsets. Qualcomm's latest firmware updates for its millimeter wave modems will enable user devices that can be deployed on 5G millimeter wave stand-alone networks. 5G millimeter wave stand-alone networks will deliver the sub-10 millisecond ultra-low latency capabilities required to support such innovations, augmented reality, robotics and autonomous vehicles. TeraGo maintains close relationships with numerous device vendors and expects the first devices incorporating 5G millimeter wave stand-alone capability to be delivered in late Q2 or early Q3 of this year. According to market analysis, the worldwide market for millimeter wave 5G is projected to experience significant growth, increasing from USD 2.5 billion in 2022 to USD 4.9 billion by 2027 with a compound annual growth rate of 14.7%.",announcement from Qualcomm on support for stand-alone millimeter wave chipsets,Terago Inc,394188,"Qualcomm announced last month its support for stand-alone 5G millimeter wave, or in other words, a chipset that is key to our deployment of private networks. In essence, these chipsets are a vital component that we need to scale our 5G millimeter wave private networks business. The benefit for us from this news -- Qualcomm's announcement is Qualcomm's supportive push signals to the rest of the companies within the space and the customers contemplating 5G millimeter wave private network installations the importance of this equipment being available now. The second piece of extremely positive news has been the market acceptance of millimeter wave as a core part of the 5G ecosystem. A great example of this was Verizon's recent millimeter wave announcements. If you look at Verizon's 2022 Investor Day presentation, Verizon goes through its comprehensive stance and positioning on 5G millimeter wave and its overall corporate strategy for the year. The slide in that deck that's most applicable and pertinent to those of us operating connectivity businesses with millimeter wave spectrum is Slide 25, where Verizon illustrates an increase in millimeter wave usage of 856% from January 2021 to January of this year, so 856% in 12 months.",market acceptance of millimeter wave as a core part of the 5G ecosystem,Terago Inc,359163.0
Mobile payment,"Our combined company will not nearly be large. Our new company will benefit from the differentiated solution set created by Vantiv's agile, integrated and scalable U.S. platform and Worldpay's next-generation secure and flexible global technology. Worldpay is just coming to the end of a significant multiyear CapEx investment program, and the combined company will benefit from its enhanced technology platform. Both companies have built their systems to expect payments in any form as well as to support the integration of physical, online and mobile commerce solutions. Together, this new company will have a very powerful platform for growth. These capabilities combined with their willingness to confidently adapt and integrate new innovations, position us to serve as merchants single-point eCommerce and omnicommerce solution, making us a global partner of choice for merchants, developers and disruptors worldwide. Looking at Slide 12.","integration of physical, online and mobile commerce solutions",Worldpay Inc,189032,"With the incremental Astral contribution, as well as growth in Wireless and an improving Wireline revenue trend, we are targeting consolidated Bell revenue growth of 2% to 4% for 2014. Wireless revenues, we see benefiting from continued growth in postpaid subscribers as we focus on maintaining our incumbent net adds market share. We expect Wireless ARPU to increase in 2014 at a slower pace as the market matures but still driven by higher smartphone user base, increased LTE data usage, a richer geographic mix of subscribers, and  higher access rates on new two-year contracts introduced industrywide following the implementation of the wireless code of conduct. We also anticipate growth from greater customer adoption of mobile TV and other nascent services, including mobile commerce, mBanking, and mobile advertising. In Wireline, we expect positive residential revenue growth for 2014. And that anticipates continued year-over-year improvement in residential Wireline net RGU additions as we leverage our growing IPTV footprint to drive greater three product household penetration and market share. Residential Wireline revenues in 2014 will benefit from the price increases that we implemented last November following similar pricing actions by our competitors.",greater customer adoption,BCE Inc,127466.0
Oled display,"Ultra-low power is ultra important to reduce heat, preserve battery life and improve device up-time, especially since foldables may have multiple screens and perhaps multiple driver ICs. Ultra low-power will also improve performance of application processors and other components taxed with managing algorithms and complex functions like artificial intelligence, augmented reality and virtual reality. DDICs also will be required to control complex display, driver operations and manage integrated modules, with sensor functions for enhanced touch and see interactive features. As the company with the longest OLED design and manufacturing track record, we at MagnaChip believe that our 28-nanometer display driver will have the industry's lowest power, utmost cost efficiency and the most advanced OLED display capability. Stay tuned. While we are talking about the display business, let me give you a brief update on the portfolio optimization effort we've undertaken with our LCD business. In Q1, we decided not to actively pursue unattractive LCD opportunities of approximately $11 million in low-margin business and told you we would use a platform approach to product development.",OLED design and manufacturing track record,MagnaChip Semiconductor Corp,224890,"As early as four years ago, our OTP was adopted in 28 nanometer OLED DDI products by many customers. These products have gradually entered production and continue to contribute to royalties. The penetration rate of OLED DDI in mobile, tablets and notebooks keep on rising and moving towards more advanced processes, driving the royalty growth. Currently, some customers are moving to 22 nanometer OLED DDI, accumulating good production records, and are developing products for the next generation of FinFET HV processes. We are optimistic about our continued growth in this market. Thank you.","penetration rate of OLED DDI in mobile, tablets and notebooks keep on rising",eMemory Technology Inc,413962.0
Online streaming,"The Institute for Social Security and Services for state workers in Mexico purchased our web content management and video platform services, so they can publish video online using our end-to-end video solution and offer rich, fresh and personalized content. Fluke, in addition to purchasing our web content management solution as previously discussed, engaged our consulting team to assess their digital presence maturity as they began their relationship with us. Our high performance global content delivery network improves the reliability, performance, and user experience of our customers' online presence by delivering rich media files such as video, music, games, and software or streaming live corporate or entertainment events. Our CDN provides highly available, highly redundant storage, bandwidth and computing resources in support of the online video platform, mobile web content management, acceleration and storage solutions discussed above. During the year, we continued our drive for constant innovation, advancing existing services, making enhancements, adding speed and efficiency in the core content delivery platform, and rolling out updates to our suite of value added services to help customers implement their digital presence management strategies. We also continued our quest to develop differentiated and relevant intellectual property, so that we can take full advantage of growing SaaS, content delivery and cloud storage and market opportunities. We think that 2012 was a productive year for our innovation program, both in terms of the number of patent applications filed and the number of patents issued.",high performance global content delivery network,Limelight Networks Inc,109398,"Thank you, Dave. Despite the near-term softness we remain optimistic about the longer term outlook and overall market opportunity for Entropic. We believe the trend towards more HD TV, adoption of advanced service offerings from pay-TV service providers, such as MoCA and DVR, greater consumer awareness driving upgrade market for advanced services, and the demand for (inaudible) video streaming with multiple screens in a home will play out. Further, we believe we're still in the early stages of market at just about 10% MoCA household penetration in the U.S.  Our market share remains strong and is better than we expected at this point. More and more we see how MoCA has become the de facto standard for connected home entertainment, not just for multi-room DVR but as a backbone for IP based video and multimedia content delivery throughout the home. We see a tremendous opportunity for MoCA enabled connected consumer electronics devices to deliver IP based video services and for MoCA to enable the wired to wireless convergence plan in the home.",greater consumer awareness driving upgrade market for advanced services,Entropic Communications Inc,62584.0
Rfid tags,"Two, the continued development of our software solution, working in conjunction with key third parties on our proprietary [Trade Secret Algorithm] and machine learning platform. Three, continued testing both internally and under current and future IRB approved protocols to increase our clinical data collection and analysis, and four, continued strategic development of our intellectual property portfolio our patents issued pending and in development, as well as codifying our trade secrets. We're pleased today to report progress on all of these workstreams. First, our Bio-RFID prototype sensor has achieved its intended initial performance goals. And while it will be continually improved, it has enabled us to collect data and connect testing on a prototype sensor to accurately measure and monitor in humans glucose readings in real time. Our team has been working on the development of a functional KnowU prototype, which we expect to share with you when completed. Igor Institute, a product development firm specializing in mechanical, electrical, and firmware engineering, and Dr. Reza Kassayan [in] the MD is the lead designer and system architect for numerous commercially successful large-scale projects.",continued development of our software solution,Know Labs Inc,385145,"And our quick pivot to recurring revenues with lower cost of entry has put us in a strong position overall. These include our Velocity Cirrus product, MobilisID, 3VR Prime, our Freedom Cloud and Freedom Mobile, which we just launched this week. All of these are recurring revenue products, all launched in the last 12 months. Now, as we talked about in the second quarter, the broad adoption of RFID in our major customers' core products is what really gives us reason to believe this growth is a long-term trend that we're just starting to see take off. It's building backlog for the fourth quarter and for 2021. So overall, the third quarter was highlighted by 30% sequential revenue growth, over 100% year-over-year RFID growth, a 90% sequential growth in Federal sales, 38% year-over-year Identity Reader growth, and Q4 backlog up 68% from last year. There certainly are challenges in the economic environment we're all in, but the strong secular growth we're experiencing RFID, our strength in Federal, work-from-home going into a second wave of demand, and the products we've launched in the third quarter to take advantage of return-to-work needs have built the base for a strong fourth quarter and 2021.",broad adoption of RFID in our major customers' core products,Identiv Inc,293913.0
Search Engine,"We offer developers the agility to innovate on our platform and integrate new solutions while offering best-in-class customer support for merchants of all sizes. Fifth, and finally, there is performance and security. We recently completed the rollout of our new storefront architecture and as measured by Google PageSpeed Insights, our platform benchmark's faster than leading e-commerce sites. Our faster response and page load times benefit customers by improving shopper experience and organic search engine page rankings. Our built-in security, including ISO 27001 certification, is highly valued by our mid-market and enterprise merchants. Businesses using on-premise software to power e-commerce have to manage the compliance and security of their e-commerce store themselves. With BigCommerce, customers get the benefit of the investments that we have made in uptime, speed and security.",faster response and page load times,"Bigcommerce Holdings, Inc.",299337,"This program finds attractive coverage alternatives in the individual market, for dependents of employees that are not eligible for their employer coverage. Also during the quarter, CareFirst and Premera agreed to offer our COBRA Learning Center to their agents, and to their direct consumers that come through our eOD platform. Our online advertising channel submitted application growth was flat compared to the second quarter of 2008, and represented a disappointment during the quarter. We believe there are several contributors to our second quarter paid search results, including a decline in contribution from secondary search engines, and a decline in conversion rates from all of our online advertising sources. We believe that our paid search conversion yields may reflect more comparison shopping and research activity by visitors, consistent with reports from some of our search engine partners during the year regarding lower click yields, and diminished commercial intent of search users. We recognize the paid search issue that we have, and we are currently working on bringing paid search back on track. I would like to emphasize that paid search performance in Q2 was not reflective of the overall demand for our products in the second quarter, which remains strong, as demonstrated by growth in our direct and marketing partner channels.",more comparison shopping and research activity by visitors,eHealth Inc,38804.0
Smart devices,"Intrinsyc's Open-Q 605 SBC, also known as a Single Board Computer, is a compact 50 by 68 millimeter production-ready SBC that provides powerful visual computing and edge computing for a variety of targeted applications, including: Industrial and consumer smart security cameras, action cameras, virtual reality, robotics, smart displays and more. The embedded computing platform is powered by the Qualcomm 400 Vision Intelligence platform, featuring the Qualcomm QCS605 system-on-chip built specifically to support IoT devices requiring computer vision and AI. To support the ecosystem of technology companies and application providers looking to utilize the advanced features of the Snapdragon 670, Intrinsyc introduced the Open-Q 670 HDK. The HDK is an open-frame solution that empowers technology companies to integrate and innovate for devices based on the latest Snapdragon mobile platform, as well as provide original equipment manufacturers, developers and engineers with next-generation software technology and tools to accelerate development and testing of feature-rich mobile devices. In the previous quarter, we announced the Open-Q 2500 System on Module and the companion Open-Q 2500 Development Kit. The Open-Q 2500 SOM is an ultra small form factor computing module based on the Qualcomm Snapdragon Wear 2500 platform. It combines critical elements for wearable device innovation and performance, processing capability, size, power efficiency, sensor integration and connectivity.",Qualcomm 400 Vision Intelligence platform,Intrinsyc Technologies Corp,235301,"Thanks to the demand driven by such initiatives, the pipeline secured through the Telxius transaction and our position as a leading independent tower operator on the continent with a global reputation for operational excellence. With that, let's turn to our regions that are in relatively earlier stages of network technology and where we see an opportunity to capitalize on a strong persistent demand environment for an extended period. There's probably no region where the benefits of local scale and the operational expertise gained as a premier independent operator are more pronounced than in Africa, where we're seeing these benefits play out across essentially every facet of the business. In recent years, we've seen the proliferation of affordable smart devices and consumer uptake of mobile application use cases drive outsized growth in mobile data usage, and our multinational carrier customers across the region have been working to roll out and enhance their 4G networks in response. For ATC Africa, this has resulted in average organic tenant billings growth in the high single-digit range over the last several years, coupled with 5 consecutive years of record new build activity. This trend has continued unabated into 2022, and as a result, we've built over 1,000 sites across Africa in the first half alone, up over 30% compared to the first half of 2021 and  nearly double the volumes achieved in the same period in 2020. These sites continue to demonstrate very attractive average day 1 NOI yields with our year-to-date builds producing more than 13%, and we expect to continue to execute on opportunities to add critical scale and earn strong returns in key markets throughout the region over the next several years.",consumer uptake of mobile application use cases,American Tower Corp,354584.0
Social Networking,"The DMSP is also the heart of the MarketPlace365 virtual trade show platform. Virtual events are projected by some to become an $18 billion industry in the next five years, due in part to a growing trend toward reducing the economic and environmental impact of doing business. Corporate travel expenses, showroom booths, printed materials, expensive airline tickets and the like can be eliminated by using virtual trade show technology such as MarketPlace365. With our substantial investment in time and capital in MarketPlace365, we are now positioned as one of the leading providers of virtual trade show and online marketplace technologies due to our self-provision, no upfront cost model, and integrated search engine optimization, social networking, and lead generation features. And we are one of the only public companies in this nascent but growing new market. MarketPlace365, also known as MP365, debuted in July 2010 with the launch of restaurant franchise SUBWAY's vendor trade show, with more than 100 vendors exhibiting in the initial show. Since then, SUBWAY has now expanded to over 200 exhibitors, and we have launched several additional marketplaces, including the Home Service Expo, a general public accessible marketplace providing services for homeowners in the Dade, Broward and Palm Beach Counties of Florida; the Green Light Expo, a general public accessible global products and services expo, targeting all things green for lifestyle and business applications; and ProActive Capital Forum, general public accessible and believed to be the first 24/7/365 financial trade show, concentrating on companies in the life sciences and technology areas.","integrated search engine optimization, social networking, and lead generation features",Onstream Media Corp,68309,"Subscription and services revenue was 85% of total revenue for the fourth quarter some [pay] to 76% of total revenue for the prior year quarter. The year-over-year increase in subscription and services revenue was driven primarily due to growth in the subscriber based of both residential and office customers offset in part by year-over-year decrease in revenue from our Business Promoter services. This decrease was due to an unanticipated reduction in the marketing spend with some of our Business Promoter customers. We remain confident in the long-term growth of this business due to an expectation of higher demand for lead generation services with small businesses through digital and social channels. We are, however, taking a more cautious view on guidance for that business in order to factor in the volatility in the marketing stand of such small businesses. Our core user base increase 24% from 645,000 at the end of the fourth quarter last year to over 800,000 at the end of the fourth quarter this fiscal year and our team of users grew from 42% to 46% of the overall core users during the same period. This growth in core users is an indicator of increased market penetration and potential future upsell opportunities.",higher demand for lead generation services with small businesses through digital and social channels,Ooma Inc,175341.0
Software defined radio,"In fact, in a recent EE Times article, editor Junko Yoshida said, quote, the complexity associated with the development of 5G and its prototypes has made NI's software-defined radio platform an indispensable tool for both academic researchers and the telecom equipment vendors involved in 5G innovation. NI has now put itself in the unique position in the 5G community, end quote. This sentiment has been validated at recent events, like Mobile World Congress in Barcelona and the 5G Summit in Brooklyn, where NI customers like Nokia and Intel have demonstrated the power of our modular approach. Additionally, our software-defined radio products, also focused on RF prototyping, saw considerable year-over-year revenue growth in Q1. We believe the same combination of RF measurements with powerful open FPGA and system design software solidifies our lead in prototyping and advanced research for next-generation communications technology and positions us well as these technologies evolve and go mainstream. Sales of CompactRIO and other embedded products showed signs of stabilizing. While these products continue to be adversely impacted by reduced spending in oil and gas exploration, we saw growth in new high-performance CompactRIO systems in advanced manufacturing applications that helped to offset this decline.",complexity associated with the development of 5G and its prototypes,National Instruments Corp,164193,"We generated $32.6 million in operating cash flow, an increase of $18.8 million from last year, primarily due to higher cash collection from customers and lower interest expense. In Q1 the automotive market delivered $20.5 million in billings, down 5% year-over-year, due in part to lower NRE payments. For HD Radio, we're working with several of our Tier 1 partners to develop lower-cost next-generation IC solutions, target growth in the lower end of the automotive market. In our efforts to address a growing trend toward software-defined radio solutions in the market, we're working with multiple Tier 1's, SDR integrators and SoC providers who are evaluating ARM-based HD Radio solutions. We are on track with a key OEM for the launch of Connected Radio later this year, and we continue to develop solutions for broadcasters to enhance their connectivity and position Connected Radio for wider adoption. For example, we launched phone apps for the largest commercial broadcasters in Spain and Australia, our first app for stations in Israel and our first multi-station app in the U.S. On the in-cabin monitoring front, we continue to develop our next-generation driver monitoring solutions and are in advanced development of our first-generation occupancy monitoring platform with a European automotive manufacturer we signed 2 quarters ago. OCES, we are seeing growing in our technology for various Tier 1 partner platforms.",growing trend toward software-defined radio solutions in the market,Xperi Corp,288398.0
Solar Power,"Dr.  Kumar, as the new nanoWorks Vice President of R&D, brings decades of experience in pharmaceutical development to enhance our skills base in pharmaceuticals and regulatory issues. Leading our nanoImmunology efforts, Dr.  Kepley is a noted pioneer in the use of nanomaterials to control the immune system. Luna continues to make important breakthroughs in the alternative energy area as well. Organic solar cells are a low cost, lightweight potential alternative to silicon-based solar panels in wide use today. Significant improvements in performance are required before organic solar cells will become commercially successful. Luna's made significant progress in advancing the efficiencies of organic solar cells by applying patented Trimetasphere carbon nanomaterials technology, which could lead to the development of more efficient and less expensive alternative energy solutions. The U.S.  Department of Energy's National Renewable Energy Lab, or NREL, recently verified that using Luna's Trimetasphere and nanomaterials significantly increased open circuit voltage and organic solar cells by more than 40% compared to today's standard C60 fullerenes.",Trimetasphere carbon nanomaterials technology,Luna Innovations Inc,30518,"In power electronics net sales were up JPY5.4 billion year on year to JPY45.6 billion. Operating income was up JPY900 million to JPY1 billion. As for results by business, in the drive business net sales were up year on year following higher demand for inverters, servos, and industrial motors in Japan. In the power supply business net sales were up, due to the robust demand for power supply equipment and PCS for mega solar power generation projects in Japan in the first quarter. Besides, Fuji SMBE, the Company in Singapore we acquired last year, was newly consolidated in the first quarter of fiscal year 2015. This factor also pushed up net sales. In the ED&C components business net sales were up year on year due to strong demand from machinery equipment manufacturers for machine tools and other articles.",robust demand for power supply equipment and PCS for mega solar power generation projects in Japan,Fuji Electric Co Ltd,153049.0
Stent graft,"This project makes our system even easier to use particularly in challenging anatomy that can now be treated within the labeling of the Ovation system. The last product development initiative I want to highlight is the progress we're making on our next generation, Ovation Alto stent graft platforms. In addition to adding a larger size aortic body, the Ovation Alto designed [lose] or sealing rings further approximately to enable treatment of even more difficult aortic anatomy. The Ovation Alto stent graft will be engineered to work with Ovation IX Iliac Limbs and custom seal polymer and incorporate many each of use features including an integrated sheath and integrated crossover lumen. The Ovation Alto delivery system will have an even lower profile with some sizes as low as 12 French outside diameter. We believe the Ovation Alto system in combination with other development projects mentioned on this call will make EVAR even less invasive, faster, and easier to use and will further expand the EVAR option to even more patients. We plan to initiate clinical trials with the Ovation Alto platform in both Europe and the US in 2015.",integrated crossover lumen,TriVascular Technologies Inc,125115,"In the first half of 2017, our neuro business achieved 41% revenue growth. And specifically, our APOLLO Intracranial Stent System has been on the market for over a decade and maintains steady revenue growth of 28% year-over-year. The growth was driven by the great performance of APOLLO and the increase of thrombectomy procedures in the neuro market. Our WILLIS Intracranial Stent Graft System for hemorrhagic aneurysm also realized rapid growth of 34% year-over-year. This was driven by growth in market demand and strong collaboration with our neuro KOLs. And in our first half of 2017, our APOLLO device entered 197 hospitals, while WILLIS entered 44 hospitals, continuing -- deepening their penetration in the market. In January of 2017, APOLLO was approved for large sizes by the CFDA, which will meet further unmet clinical needs for large sizes intracranial stent and further strengthening our leadership position in the neuro intervention market.",growth in market demand,Microport Scientific Corp,190516.0
Touch screen,"Our ClearPad unit shipments, as well as our new design wins, continue to reflect a mix of modules, tails and chips. Pricing for modules continues to come down as expected due to continued reductions in costs. A sampling of notable new touchscreen designs now shipping include ClearPad 2000 solutions and the new Sony Erickson Xpiria X10 Mini, two Microsoft Kin models and HTC Desire handsets. We also started shipping our most advanced capacitive touchscreen, the ClearPad 3000, into both LG's LU2300 smartphone and its innovative Arena Max phone. We continue to incorporate our ClearPad technology into the reference designs of key industry partners, most recently in Marvell's ARMADA 610 next generation applications processor and Texas Instruments' Blaze Mobile Development Platform. Synaptics' investment in expanding its ClearPad touchscreen platform has resulted in several recent innovations. We are pleased to have started sampling highly accurate, pen-based input viewings to enable applications such as text entry and gaming, as well as an advanced proximity feature for ClearPad 3000.",Synaptics' investment in expanding its ClearPad touchscreen platform,Synaptics Inc,44653,"We have not only customers there but a significant number of ecosystem partners that are very active in promoting our technology so I would say that from a geo standpoint is clearly exciting. Computex is a show that will occur here early June in Taiwan. I would expect to see a number of new tablets using Immersion's technology so I see that as a potential sector where we see design win opportunities growing. I think across the board this quarter it was gaming and mobility but across the board continues to be enthusiasm in the automotive, the medical, our industrial markets so I'd say for right now, with the rapid adoption of touch screens as a general technology and user interface, haptics is in great demand in lots of markets.",rapid adoption of touch screens as a general technology and user interface,Immersion Corp,74549.0
Virtual Reality,"One is the system design or the specific hardware that enables these signals. And we believe that even when we don't deliver all of this on our own proprietary solutions, whether it's our sensor or our compute silicon, we believe the knowledge we have in optimizing the system design is a unique capability that customers value. The second aspect, of course, is the algorithm itself. The algorithms in these spaces need to improve to go and deliver the performance needed for the user experience, but we also see the algorithm needing to change, whether it's because the geometry of a headset changes as VR goes to thinner headsets or if it is to reduce the overall power of the algorithm to enable future form factors like augmented reality. We think that the lead that we have here in algo development, our expertise in bringing it to mass market and dealing with large populations, those are unique capabilities for Tobii or at least very highly differentiated offerings from Tobii, and we continue to believe that puts us in a strong position.",geometry of a headset changes as VR goes to thinner headsets,Tobii AB,384021,"In addition to finishing the year off strong from a business execution focus, we also, of course, see very strong indicators from the market that there is momentum moving in terms of our direction. And specifically, I wanted to spend a few minutes talking about the momentum we see now around the virtual reality space. We see 2 major trends right now in virtual reality that are quite important for us to highlight because this has a significant impact on our long-term investment in this space. The first is that we see increased consumer demand for virtual reality. You can see a couple of quotes on this slide, one from Mark Zuckerberg that talks about demand from consumers for applications in the virtual reality space; and the second is a quote from the CEO of Currys, Alex, who talks about how the VR HMDs in Q4 2021 had a tremendous holiday selling cycle. Currys is one of the largest retailers in the world, and the fact that we're seeing consumer demand for both the applications that they would use in this VR ecosystem as well as driving sales of VR HMDs, these are really good indicators for sustained growth in this category. The second aspect that we see is strong industry momentum around virtual reality and, in general, around a term that the industry is condensing around called the metaverse.",increased consumer demand for virtual reality,Tobii AB,347586.0
